State,Residence_Type,Gender,Attendance type,Level of education,Attendance ratio (%)
Jharkhand,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,91.4
Jharkhand,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,61.3
Jharkhand,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,72.0
Jharkhand,Urban,Female,Net Attendance Ratio,Higher Secondary Level,46.6
Jharkhand,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,41.8
Jharkhand,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,29.7
Jharkhand,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,107.5
Jharkhand,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,84.8
Jharkhand,Urban,Female,Gross Attendance Ratio,Primary Level,109.5
Jharkhand,Urban,Female,Net Attendance Ratio,Primary Level,86.9
Jharkhand,Urban,Female,Gross Attendance Ratio,Secondary Level,84.1
Jharkhand,Urban,Female,Net Attendance Ratio,Secondary Level,57.8
Jharkhand,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,103.8
Jharkhand,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,56.9
Jharkhand,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,75.0
Jharkhand,Urban,Male,Net Attendance Ratio,Higher Secondary Level,49.0
Jharkhand,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,19.7
Jharkhand,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,17.4
Jharkhand,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,107.0
Jharkhand,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.6
Jharkhand,Urban,Male,Gross Attendance Ratio,Primary Level,128.0
Jharkhand,Urban,Male,Net Attendance Ratio,Primary Level,86.0
Jharkhand,Urban,Male,Gross Attendance Ratio,Secondary Level,112.7
Jharkhand,Urban,Male,Net Attendance Ratio,Secondary Level,52.7
Jharkhand,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,79.0
Jharkhand,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,58.1
Jharkhand,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,73.7
Jharkhand,Urban,Person,Net Attendance Ratio,Higher Secondary Level,47.9
Jharkhand,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,30.1
Jharkhand,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,23.2
Jharkhand,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,107.2
Jharkhand,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.4
Jharkhand,Urban,Person,Gross Attendance Ratio,Primary Level,119.7
Jharkhand,Urban,Person,Net Attendance Ratio,Primary Level,86.4
Jharkhand,Urban,Person,Gross Attendance Ratio,Secondary Level,96.9
Jharkhand,Urban,Person,Net Attendance Ratio,Secondary Level,55.5
Jharkhand,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,88.2
Jharkhand,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,57.7
Odisha,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,43.5
Odisha,Rural,Female,Net Attendance Ratio,Higher Secondary Level,32.1
Odisha,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,9.3
Odisha,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,7.4
Odisha,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,103.1
Odisha,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.6
Odisha,Rural,Female,Gross Attendance Ratio,Primary Level,107.0
Odisha,Rural,Female,Net Attendance Ratio,Primary Level,91.3
Odisha,Rural,Female,Gross Attendance Ratio,Secondary Level,83.1
Odisha,Rural,Female,Net Attendance Ratio,Secondary Level,68.2
Odisha,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,96.4
Odisha,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,76.3
Odisha,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,56.3
Odisha,Rural,Male,Net Attendance Ratio,Higher Secondary Level,39.2
Odisha,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,15.0
Odisha,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,12.4
Odisha,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,94.1
Odisha,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.9
Odisha,Rural,Male,Gross Attendance Ratio,Primary Level,99.0
Odisha,Rural,Male,Net Attendance Ratio,Primary Level,90.7
Odisha,Rural,Male,Gross Attendance Ratio,Secondary Level,89.1
Odisha,Rural,Male,Net Attendance Ratio,Secondary Level,65.9
Odisha,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,87.1
Odisha,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,76.6
Odisha,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,49.8
Odisha,Rural,Person,Net Attendance Ratio,Higher Secondary Level,35.6
Odisha,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,12.2
Odisha,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,10.0
Odisha,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.1
Odisha,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.1
Odisha,Rural,Person,Gross Attendance Ratio,Primary Level,102.7
Odisha,Rural,Person,Net Attendance Ratio,Primary Level,91.0
Odisha,Rural,Person,Gross Attendance Ratio,Secondary Level,86.4
Odisha,Rural,Person,Net Attendance Ratio,Secondary Level,66.9
Odisha,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,91.0
Odisha,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,76.4
Odisha,Total,Female,Gross Attendance Ratio,Higher Secondary Level,46.1
Odisha,Total,Female,Net Attendance Ratio,Higher Secondary Level,34.4
Odisha,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,11.3
Odisha,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,9.6
Odisha,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.7
Odisha,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.2
Odisha,Total,Female,Gross Attendance Ratio,Primary Level,107.2
Odisha,Total,Female,Net Attendance Ratio,Primary Level,90.7
Odisha,Total,Female,Gross Attendance Ratio,Secondary Level,87.6
Odisha,Total,Female,Net Attendance Ratio,Secondary Level,68.9
Odisha,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,95.0
Odisha,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,75.6
Odisha,Total,Male,Gross Attendance Ratio,Higher Secondary Level,61.0
Odisha,Total,Male,Net Attendance Ratio,Higher Secondary Level,40.5
Odisha,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,17.4
Odisha,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,14.2
Odisha,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,95.6
Odisha,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.9
Odisha,Total,Male,Gross Attendance Ratio,Primary Level,100.3
Odisha,Total,Male,Net Attendance Ratio,Primary Level,91.6
Odisha,Total,Male,Gross Attendance Ratio,Secondary Level,86.8
Odisha,Total,Male,Net Attendance Ratio,Secondary Level,66.5
Odisha,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,88.6
Odisha,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,77.9
Odisha,Total,Person,Gross Attendance Ratio,Higher Secondary Level,53.4
Odisha,Total,Person,Net Attendance Ratio,Higher Secondary Level,37.4
Odisha,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,14.5
Odisha,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,12.0
Odisha,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.8
Odisha,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.5
Odisha,Total,Person,Gross Attendance Ratio,Primary Level,103.4
Odisha,Total,Person,Net Attendance Ratio,Primary Level,91.2
Odisha,Total,Person,Gross Attendance Ratio,Secondary Level,87.2
Odisha,Total,Person,Net Attendance Ratio,Secondary Level,67.6
Odisha,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,91.3
Odisha,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,77.0
Odisha,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,62.4
Odisha,Urban,Female,Net Attendance Ratio,Higher Secondary Level,48.9
Odisha,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,21.7
Odisha,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,21.2
Odisha,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.4
Odisha,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.1
Odisha,Urban,Female,Gross Attendance Ratio,Primary Level,108.1
Odisha,Urban,Female,Net Attendance Ratio,Primary Level,87.3
Odisha,Urban,Female,Gross Attendance Ratio,Secondary Level,119.5
Odisha,Urban,Female,Net Attendance Ratio,Secondary Level,73.9
Odisha,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,86.5
Odisha,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,71.9
Odisha,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,94.8
Odisha,Urban,Male,Net Attendance Ratio,Higher Secondary Level,49.6
Odisha,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,30.3
Odisha,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,24.0
Odisha,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,104.3
Odisha,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,97.0
Odisha,Urban,Male,Gross Attendance Ratio,Primary Level,106.5
Odisha,Urban,Male,Net Attendance Ratio,Primary Level,96.1
Odisha,Urban,Male,Gross Attendance Ratio,Secondary Level,75.3
Odisha,Urban,Male,Net Attendance Ratio,Secondary Level,69.7
Odisha,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,99.9
Odisha,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,87.7
Odisha,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,77.4
Odisha,Urban,Person,Net Attendance Ratio,Higher Secondary Level,49.2
Odisha,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,26.1
Odisha,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,22.6
Odisha,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.6
Odisha,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.0
Odisha,Urban,Person,Gross Attendance Ratio,Primary Level,107.2
Odisha,Urban,Person,Net Attendance Ratio,Primary Level,92.4
Odisha,Urban,Person,Gross Attendance Ratio,Secondary Level,91.9
Odisha,Urban,Person,Net Attendance Ratio,Secondary Level,71.3
Odisha,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,93.8
Odisha,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,80.4
Chhattisgarh,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,57.3
Chhattisgarh,Rural,Female,Net Attendance Ratio,Higher Secondary Level,40.6
Chhattisgarh,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,9.6
Chhattisgarh,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,8.4
Chhattisgarh,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.7
Chhattisgarh,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.5
Chhattisgarh,Rural,Female,Gross Attendance Ratio,Primary Level,100.1
Chhattisgarh,Rural,Female,Net Attendance Ratio,Primary Level,91.7
Chhattisgarh,Rural,Female,Gross Attendance Ratio,Secondary Level,93.7
Chhattisgarh,Rural,Female,Net Attendance Ratio,Secondary Level,67.7
Chhattisgarh,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,104.6
Chhattisgarh,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,84.1
Chhattisgarh,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,69.4
Chhattisgarh,Rural,Male,Net Attendance Ratio,Higher Secondary Level,48.7
Chhattisgarh,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,17.5
Chhattisgarh,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,14.0
Chhattisgarh,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.0
Chhattisgarh,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.2
Chhattisgarh,Rural,Male,Gross Attendance Ratio,Primary Level,104.7
Chhattisgarh,Rural,Male,Net Attendance Ratio,Primary Level,92.2
Chhattisgarh,Rural,Male,Gross Attendance Ratio,Secondary Level,87.7
Chhattisgarh,Rural,Male,Net Attendance Ratio,Secondary Level,61.7
Chhattisgarh,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,97.5
Chhattisgarh,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,80.2
Chhattisgarh,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,63.9
Chhattisgarh,Rural,Person,Net Attendance Ratio,Higher Secondary Level,45.0
Chhattisgarh,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,13.7
Chhattisgarh,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,11.3
Chhattisgarh,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.8
Chhattisgarh,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.9
Chhattisgarh,Rural,Person,Gross Attendance Ratio,Primary Level,102.6
Chhattisgarh,Rural,Person,Net Attendance Ratio,Primary Level,92.0
Chhattisgarh,Rural,Person,Gross Attendance Ratio,Secondary Level,90.6
Chhattisgarh,Rural,Person,Net Attendance Ratio,Secondary Level,64.6
Chhattisgarh,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,100.7
Chhattisgarh,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,82.0
Chhattisgarh,Total,Female,Gross Attendance Ratio,Higher Secondary Level,63.6
Chhattisgarh,Total,Female,Net Attendance Ratio,Higher Secondary Level,45.5
Chhattisgarh,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,11.9
Chhattisgarh,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,10.2
Chhattisgarh,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.8
Chhattisgarh,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.0
Chhattisgarh,Total,Female,Gross Attendance Ratio,Primary Level,100.4
Chhattisgarh,Total,Female,Net Attendance Ratio,Primary Level,91.6
Chhattisgarh,Total,Female,Gross Attendance Ratio,Secondary Level,93.4
Chhattisgarh,Total,Female,Net Attendance Ratio,Secondary Level,67.3
Chhattisgarh,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,104.1
Chhattisgarh,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,83.4
Chhattisgarh,Total,Male,Gross Attendance Ratio,Higher Secondary Level,69.8
Chhattisgarh,Total,Male,Net Attendance Ratio,Higher Secondary Level,47.5
Chhattisgarh,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,20.6
Chhattisgarh,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,15.9
Chhattisgarh,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.5
Chhattisgarh,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.9
Chhattisgarh,Total,Male,Gross Attendance Ratio,Primary Level,104.0
Chhattisgarh,Total,Male,Net Attendance Ratio,Primary Level,91.6
Chhattisgarh,Total,Male,Gross Attendance Ratio,Secondary Level,87.6
Chhattisgarh,Total,Male,Net Attendance Ratio,Secondary Level,62.8
Chhattisgarh,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,97.5
Chhattisgarh,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,81.0
Chhattisgarh,Total,Person,Gross Attendance Ratio,Higher Secondary Level,66.9
Chhattisgarh,Total,Person,Net Attendance Ratio,Higher Secondary Level,46.6
Chhattisgarh,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,16.2
Chhattisgarh,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,13.1
Chhattisgarh,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.6
Chhattisgarh,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.5
Chhattisgarh,Total,Person,Gross Attendance Ratio,Primary Level,102.4
Chhattisgarh,Total,Person,Net Attendance Ratio,Primary Level,91.6
Chhattisgarh,Total,Person,Gross Attendance Ratio,Secondary Level,90.3
Chhattisgarh,Total,Person,Net Attendance Ratio,Secondary Level,64.9
Chhattisgarh,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,100.4
Chhattisgarh,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,82.1
Chhattisgarh,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,93.9
Chhattisgarh,Urban,Female,Net Attendance Ratio,Higher Secondary Level,68.9
Chhattisgarh,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,20.9
Chhattisgarh,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,17.2
Chhattisgarh,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.1
Chhattisgarh,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.1
Chhattisgarh,Urban,Female,Gross Attendance Ratio,Primary Level,102.6
Chhattisgarh,Urban,Female,Net Attendance Ratio,Primary Level,90.6
Chhattisgarh,Urban,Female,Gross Attendance Ratio,Secondary Level,91.5
Chhattisgarh,Urban,Female,Net Attendance Ratio,Secondary Level,65.0
Chhattisgarh,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,101.2
Chhattisgarh,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,79.1
Chhattisgarh,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,71.7
Chhattisgarh,Urban,Male,Net Attendance Ratio,Higher Secondary Level,41.1
Chhattisgarh,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,35.5
Chhattisgarh,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,25.1
Chhattisgarh,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.5
Chhattisgarh,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.3
Chhattisgarh,Urban,Male,Gross Attendance Ratio,Primary Level,100.6
Chhattisgarh,Urban,Male,Net Attendance Ratio,Primary Level,88.8
Chhattisgarh,Urban,Male,Gross Attendance Ratio,Secondary Level,87.0
Chhattisgarh,Urban,Male,Net Attendance Ratio,Secondary Level,67.9
Chhattisgarh,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,97.6
Chhattisgarh,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,85.0
Chhattisgarh,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,82.4
Chhattisgarh,Urban,Person,Net Attendance Ratio,Higher Secondary Level,54.5
Chhattisgarh,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,27.4
Chhattisgarh,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,20.8
Chhattisgarh,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.6
Chhattisgarh,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.4
Chhattisgarh,Urban,Person,Gross Attendance Ratio,Primary Level,101.5
Chhattisgarh,Urban,Person,Net Attendance Ratio,Primary Level,89.6
Chhattisgarh,Urban,Person,Gross Attendance Ratio,Secondary Level,89.0
Chhattisgarh,Urban,Person,Net Attendance Ratio,Secondary Level,66.6
Chhattisgarh,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,99.0
Chhattisgarh,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,82.7
Madhya Pradesh,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,50.5
Madhya Pradesh,Rural,Female,Net Attendance Ratio,Higher Secondary Level,31.5
Madhya Pradesh,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,9.5
Madhya Pradesh,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,6.3
Madhya Pradesh,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,92.0
Madhya Pradesh,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,83.6
Madhya Pradesh,Rural,Female,Gross Attendance Ratio,Primary Level,90.6
Madhya Pradesh,Rural,Female,Net Attendance Ratio,Primary Level,78.5
Madhya Pradesh,Rural,Female,Gross Attendance Ratio,Secondary Level,80.5
Madhya Pradesh,Rural,Female,Net Attendance Ratio,Secondary Level,53.0
Madhya Pradesh,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,94.8
Madhya Pradesh,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,71.1
Madhya Pradesh,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,55.8
Madhya Pradesh,Rural,Male,Net Attendance Ratio,Higher Secondary Level,35.3
Madhya Pradesh,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,14.4
Madhya Pradesh,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,10.9
Madhya Pradesh,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.0
Madhya Pradesh,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.7
Madhya Pradesh,Rural,Male,Gross Attendance Ratio,Primary Level,98.9
Madhya Pradesh,Rural,Male,Net Attendance Ratio,Primary Level,84.1
Madhya Pradesh,Rural,Male,Gross Attendance Ratio,Secondary Level,81.5
Madhya Pradesh,Rural,Male,Net Attendance Ratio,Secondary Level,48.3
Madhya Pradesh,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,99.4
Madhya Pradesh,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,73.3
Madhya Pradesh,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,53.3
Madhya Pradesh,Rural,Person,Net Attendance Ratio,Higher Secondary Level,33.5
Madhya Pradesh,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,12.2
Madhya Pradesh,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,8.8
Madhya Pradesh,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,95.8
Madhya Pradesh,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,86.3
Madhya Pradesh,Rural,Person,Gross Attendance Ratio,Primary Level,94.9
Madhya Pradesh,Rural,Person,Net Attendance Ratio,Primary Level,81.4
Madhya Pradesh,Rural,Person,Gross Attendance Ratio,Secondary Level,81.0
Madhya Pradesh,Rural,Person,Net Attendance Ratio,Secondary Level,50.6
Madhya Pradesh,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,97.4
Madhya Pradesh,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,72.3
Madhya Pradesh,Total,Female,Gross Attendance Ratio,Higher Secondary Level,56.3
Madhya Pradesh,Total,Female,Net Attendance Ratio,Higher Secondary Level,32.9
Madhya Pradesh,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,15.0
Madhya Pradesh,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,11.1
Madhya Pradesh,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,92.8
Madhya Pradesh,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,84.5
Madhya Pradesh,Total,Female,Gross Attendance Ratio,Primary Level,92.1
Madhya Pradesh,Total,Female,Net Attendance Ratio,Primary Level,79.6
Madhya Pradesh,Total,Female,Gross Attendance Ratio,Secondary Level,85.7
Madhya Pradesh,Total,Female,Net Attendance Ratio,Secondary Level,56.0
Madhya Pradesh,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,94.2
Madhya Pradesh,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,71.7
Madhya Pradesh,Total,Male,Gross Attendance Ratio,Higher Secondary Level,63.0
Madhya Pradesh,Total,Male,Net Attendance Ratio,Higher Secondary Level,39.1
Madhya Pradesh,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,19.3
Madhya Pradesh,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,15.6
Madhya Pradesh,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.8
Madhya Pradesh,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.4
Madhya Pradesh,Total,Male,Gross Attendance Ratio,Primary Level,98.0
Madhya Pradesh,Total,Male,Net Attendance Ratio,Primary Level,83.4
Madhya Pradesh,Total,Male,Gross Attendance Ratio,Secondary Level,82.4
Madhya Pradesh,Total,Male,Net Attendance Ratio,Secondary Level,52.4
Madhya Pradesh,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,100.1
Madhya Pradesh,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,73.8
Madhya Pradesh,Total,Person,Gross Attendance Ratio,Higher Secondary Level,59.9
Madhya Pradesh,Total,Person,Net Attendance Ratio,Higher Secondary Level,36.3
Madhya Pradesh,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,17.3
Madhya Pradesh,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,13.5
Madhya Pradesh,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.1
Madhya Pradesh,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,86.6
Madhya Pradesh,Total,Person,Gross Attendance Ratio,Primary Level,95.3
Madhya Pradesh,Total,Person,Net Attendance Ratio,Primary Level,81.6
Madhya Pradesh,Total,Person,Gross Attendance Ratio,Secondary Level,83.9
Madhya Pradesh,Total,Person,Net Attendance Ratio,Secondary Level,54.1
Madhya Pradesh,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,97.5
Madhya Pradesh,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,72.9
Madhya Pradesh,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,80.4
Madhya Pradesh,Urban,Female,Net Attendance Ratio,Higher Secondary Level,38.8
Madhya Pradesh,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,29.4
Madhya Pradesh,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,23.7
Madhya Pradesh,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.3
Madhya Pradesh,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.3
Madhya Pradesh,Urban,Female,Gross Attendance Ratio,Primary Level,99.1
Madhya Pradesh,Urban,Female,Net Attendance Ratio,Primary Level,84.9
Madhya Pradesh,Urban,Female,Gross Attendance Ratio,Secondary Level,104.0
Madhya Pradesh,Urban,Female,Net Attendance Ratio,Secondary Level,66.1
Madhya Pradesh,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,92.4
Madhya Pradesh,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,74.0
Madhya Pradesh,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,87.7
Madhya Pradesh,Urban,Male,Net Attendance Ratio,Higher Secondary Level,52.1
Madhya Pradesh,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,34.0
Madhya Pradesh,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,29.5
