State,Residence_Type,Gender,Course type,Institution type,Distribution of students by institution type and course type (%),Sample number of students under survey by institution type and course type
Meghalaya,Total,Male,Graduate and above level including diploma,Government,1.6,994.0
Meghalaya,Total,Male,Graduate and above level including diploma,Private aided,2.6,994.0
Meghalaya,Total,Male,Graduate and above level including diploma,Private Unaided,0.6,994.0
Meghalaya,Total,Male,Pre-Primary,Government,8.4,994.0
Meghalaya,Total,Male,Pre-Primary,Private aided,3.4,994.0
Meghalaya,Total,Male,Pre-Primary,Private Unaided,1.6,994.0
Meghalaya,Total,Male,Primary,Government,25.7,994.0
Meghalaya,Total,Male,Primary,Private aided,9.5,994.0
Meghalaya,Total,Male,Primary,Private Unaided,4.0,994.0
Meghalaya,Total,Male,Secondary and Higher Secondary,Government,8.7,994.0
Meghalaya,Total,Male,Secondary and Higher Secondary,Private aided,8.6,994.0
Meghalaya,Total,Male,Secondary and Higher Secondary,Private Unaided,2.3,994.0
Meghalaya,Total,Male,Upper Primary,Government,12.8,994.0
Meghalaya,Total,Male,Upper Primary,Private aided,6.8,994.0
Meghalaya,Total,Male,Upper Primary,Private Unaided,1.9,994.0
Meghalaya,Total,Persons,Diploma/Certificate below graduate level,Government,0.0,1979.0
Meghalaya,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.1,1979.0
Meghalaya,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,0.0,1979.0
Meghalaya,Total,Persons,Graduate and above level including diploma,Government,1.8,1979.0
Meghalaya,Total,Persons,Graduate and above level including diploma,Private aided,3.0,1979.0
Meghalaya,Total,Persons,Graduate and above level including diploma,Private Unaided,0.6,1979.0
Meghalaya,Total,Persons,Pre-Primary,Government,9.1,1979.0
Meghalaya,Total,Persons,Pre-Primary,Private aided,2.9,1979.0
Meghalaya,Total,Persons,Pre-Primary,Private Unaided,1.3,1979.0
Meghalaya,Total,Persons,Primary,Government,24.4,1979.0
Meghalaya,Total,Persons,Primary,Private aided,10.2,1979.0
Meghalaya,Total,Persons,Primary,Private Unaided,3.8,1979.0
Meghalaya,Total,Persons,Secondary and Higher Secondary,Government,8.3,1979.0
Meghalaya,Total,Persons,Secondary and Higher Secondary,Private aided,9.7,1979.0
Meghalaya,Total,Persons,Secondary and Higher Secondary,Private Unaided,2.1,1979.0
Meghalaya,Total,Persons,Upper Primary,Government,13.2,1979.0
Meghalaya,Total,Persons,Upper Primary,Private aided,6.2,1979.0
Meghalaya,Total,Persons,Upper Primary,Private Unaided,1.6,1979.0
Meghalaya,Urban,Female,Diploma/Certificate below graduate level,Government,0.1,315.0
Meghalaya,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.1,315.0
Meghalaya,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,315.0
Meghalaya,Urban,Female,Graduate and above level including diploma,Government,6.4,315.0
Meghalaya,Urban,Female,Graduate and above level including diploma,Private aided,14.5,315.0
Meghalaya,Urban,Female,Graduate and above level including diploma,Private Unaided,2.1,315.0
Meghalaya,Urban,Female,Pre-Primary,Government,4.2,315.0
Meghalaya,Urban,Female,Pre-Primary,Private aided,3.0,315.0
Meghalaya,Urban,Female,Pre-Primary,Private Unaided,3.4,315.0
Meghalaya,Urban,Female,Primary,Government,6.7,315.0
Meghalaya,Urban,Female,Primary,Private aided,14.6,315.0
Meghalaya,Urban,Female,Primary,Private Unaided,6.7,315.0
Meghalaya,Urban,Female,Secondary and Higher Secondary,Government,5.7,315.0
Meghalaya,Urban,Female,Secondary and Higher Secondary,Private aided,16.1,315.0
Meghalaya,Urban,Female,Secondary and Higher Secondary,Private Unaided,4.3,315.0
Meghalaya,Urban,Female,Upper Primary,Government,5.3,315.0
Meghalaya,Urban,Female,Upper Primary,Private aided,5.8,315.0
Meghalaya,Urban,Female,Upper Primary,Private Unaided,0.9,315.0
Meghalaya,Urban,Male,Diploma/Certificate below graduate level,Government,0.1,294.0
Meghalaya,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.6,294.0
Meghalaya,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.0,294.0
Meghalaya,Urban,Male,Graduate and above level including diploma,Government,5.7,294.0
Meghalaya,Urban,Male,Graduate and above level including diploma,Private aided,10.7,294.0
Meghalaya,Urban,Male,Graduate and above level including diploma,Private Unaided,2.4,294.0
Meghalaya,Urban,Male,Pre-Primary,Government,1.9,294.0
Meghalaya,Urban,Male,Pre-Primary,Private aided,5.3,294.0
Meghalaya,Urban,Male,Pre-Primary,Private Unaided,2.0,294.0
Meghalaya,Urban,Male,Primary,Government,5.6,294.0
Meghalaya,Urban,Male,Primary,Private aided,19.3,294.0
Meghalaya,Urban,Male,Primary,Private Unaided,4.8,294.0
Meghalaya,Urban,Male,Secondary and Higher Secondary,Government,4.9,294.0
Meghalaya,Urban,Male,Secondary and Higher Secondary,Private aided,13.8,294.0
Meghalaya,Urban,Male,Secondary and Higher Secondary,Private Unaided,5.5,294.0
Meghalaya,Urban,Male,Upper Primary,Government,4.8,294.0
Meghalaya,Urban,Male,Upper Primary,Private aided,10.6,294.0
Meghalaya,Urban,Male,Upper Primary,Private Unaided,1.5,294.0
Meghalaya,Urban,Persons,Diploma/Certificate below graduate level,Government,0.1,609.0
Meghalaya,Urban,Persons,Diploma/Certificate below graduate level,Private aided,0.3,609.0
Meghalaya,Urban,Persons,Diploma/Certificate below graduate level,Private Unaided,0.0,609.0
Meghalaya,Urban,Persons,Graduate and above level including diploma,Government,6.0,609.0
Meghalaya,Urban,Persons,Graduate and above level including diploma,Private aided,12.6,609.0
Meghalaya,Urban,Persons,Graduate and above level including diploma,Private Unaided,2.2,609.0
Meghalaya,Urban,Persons,Pre-Primary,Government,3.0,609.0
Meghalaya,Urban,Persons,Pre-Primary,Private aided,4.1,609.0
Meghalaya,Urban,Persons,Pre-Primary,Private Unaided,2.7,609.0
Meghalaya,Urban,Persons,Primary,Government,6.1,609.0
Meghalaya,Urban,Persons,Primary,Private aided,17.0,609.0
Meghalaya,Urban,Persons,Primary,Private Unaided,5.8,609.0
Meghalaya,Urban,Persons,Secondary and Higher Secondary,Government,5.3,609.0
Meghalaya,Urban,Persons,Secondary and Higher Secondary,Private aided,14.9,609.0
Meghalaya,Urban,Persons,Secondary and Higher Secondary,Private Unaided,4.9,609.0
Meghalaya,Urban,Persons,Upper Primary,Government,5.1,609.0
Meghalaya,Urban,Persons,Upper Primary,Private aided,8.2,609.0
Meghalaya,Urban,Persons,Upper Primary,Private Unaided,1.2,609.0
Assam,Rural,Female,Diploma/Certificate below graduate level,Government,0.2,1453.0
Assam,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.0,1453.0
Assam,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,1453.0
Assam,Rural,Female,Graduate and above level including diploma,Government,5.9,1453.0
Assam,Rural,Female,Graduate and above level including diploma,Private aided,0.2,1453.0
Assam,Rural,Female,Graduate and above level including diploma,Private Unaided,0.2,1453.0
Assam,Rural,Female,Pre-Primary,Government,2.9,1453.0
Assam,Rural,Female,Pre-Primary,Private aided,0.0,1453.0
Assam,Rural,Female,Pre-Primary,Private Unaided,1.0,1453.0
Assam,Rural,Female,Primary,Government,41.9,1453.0
Assam,Rural,Female,Primary,Private aided,0.7,1453.0
Assam,Rural,Female,Primary,Private Unaided,2.4,1453.0
Assam,Rural,Female,Secondary and Higher Secondary,Government,19.5,1453.0
Assam,Rural,Female,Secondary and Higher Secondary,Private aided,0.8,1453.0
Assam,Rural,Female,Secondary and Higher Secondary,Private Unaided,1.1,1453.0
Assam,Rural,Female,Upper Primary,Government,21.7,1453.0
Assam,Rural,Female,Upper Primary,Private aided,0.5,1453.0
Assam,Rural,Female,Upper Primary,Private Unaided,0.9,1453.0
Assam,Rural,Male,Diploma/Certificate below graduate level,Government,0.4,1923.0
Assam,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.0,1923.0
Assam,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,0.0,1923.0
Assam,Rural,Male,Graduate and above level including diploma,Government,7.6,1923.0
Assam,Rural,Male,Graduate and above level including diploma,Private aided,0.1,1923.0
Assam,Rural,Male,Graduate and above level including diploma,Private Unaided,0.2,1923.0
Assam,Rural,Male,Pre-Primary,Government,3.3,1923.0
Assam,Rural,Male,Pre-Primary,Private aided,0.1,1923.0
Assam,Rural,Male,Pre-Primary,Private Unaided,0.7,1923.0
Assam,Rural,Male,Primary,Government,38.7,1923.0
Assam,Rural,Male,Primary,Private aided,1.0,1923.0
Assam,Rural,Male,Primary,Private Unaided,3.1,1923.0
Assam,Rural,Male,Secondary and Higher Secondary,Government,18.7,1923.0
Assam,Rural,Male,Secondary and Higher Secondary,Private aided,0.4,1923.0
Assam,Rural,Male,Secondary and Higher Secondary,Private Unaided,0.9,1923.0
Assam,Rural,Male,Upper Primary,Government,22.7,1923.0
Assam,Rural,Male,Upper Primary,Private aided,0.4,1923.0
Assam,Rural,Male,Upper Primary,Private Unaided,1.6,1923.0
Assam,Rural,Persons,Diploma/Certificate below graduate level,Government,0.3,3376.0
Assam,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.0,3376.0
Assam,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,0.0,3376.0
Assam,Rural,Persons,Graduate and above level including diploma,Government,6.9,3376.0
Assam,Rural,Persons,Graduate and above level including diploma,Private aided,0.1,3376.0
Assam,Rural,Persons,Graduate and above level including diploma,Private Unaided,0.2,3376.0
Assam,Rural,Persons,Pre-Primary,Government,3.2,3376.0
Assam,Rural,Persons,Pre-Primary,Private aided,0.1,3376.0
Assam,Rural,Persons,Pre-Primary,Private Unaided,0.8,3376.0
Assam,Rural,Persons,Primary,Government,40.0,3376.0
Assam,Rural,Persons,Primary,Private aided,0.8,3376.0
Assam,Rural,Persons,Primary,Private Unaided,2.8,3376.0
Assam,Rural,Persons,Secondary and Higher Secondary,Government,19.0,3376.0
Assam,Rural,Persons,Secondary and Higher Secondary,Private aided,0.6,3376.0
Assam,Rural,Persons,Secondary and Higher Secondary,Private Unaided,1.0,3376.0
Assam,Rural,Persons,Upper Primary,Government,22.3,3376.0
Assam,Rural,Persons,Upper Primary,Private aided,0.5,3376.0
Assam,Rural,Persons,Upper Primary,Private Unaided,1.3,3376.0
Assam,Total,Female,Diploma/Certificate below graduate level,Government,0.2,1980.0
Assam,Total,Female,Diploma/Certificate below graduate level,Private aided,0.0,1980.0
Assam,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,1980.0
Assam,Total,Female,Graduate and above level including diploma,Government,6.8,1980.0
Assam,Total,Female,Graduate and above level including diploma,Private aided,0.4,1980.0
Assam,Total,Female,Graduate and above level including diploma,Private Unaided,0.5,1980.0
Assam,Total,Female,Pre-Primary,Government,2.7,1980.0
Assam,Total,Female,Pre-Primary,Private aided,0.2,1980.0
Assam,Total,Female,Pre-Primary,Private Unaided,1.5,1980.0
Assam,Total,Female,Primary,Government,38.8,1980.0
Assam,Total,Female,Primary,Private aided,1.1,1980.0
Assam,Total,Female,Primary,Private Unaided,3.2,1980.0
Assam,Total,Female,Secondary and Higher Secondary,Government,19.6,1980.0
Assam,Total,Female,Secondary and Higher Secondary,Private aided,0.9,1980.0
Assam,Total,Female,Secondary and Higher Secondary,Private Unaided,1.4,1980.0
Assam,Total,Female,Upper Primary,Government,20.9,1980.0
Assam,Total,Female,Upper Primary,Private aided,0.7,1980.0
Assam,Total,Female,Upper Primary,Private Unaided,1.3,1980.0
Assam,Total,Male,Diploma/Certificate below graduate level,Government,0.4,2608.0
Assam,Total,Male,Diploma/Certificate below graduate level,Private aided,0.0,2608.0
Assam,Total,Male,Diploma/Certificate below graduate level,Private Unaided,0.0,2608.0
Assam,Total,Male,Graduate and above level including diploma,Government,8.1,2608.0
Assam,Total,Male,Graduate and above level including diploma,Private aided,0.8,2608.0
Assam,Total,Male,Graduate and above level including diploma,Private Unaided,0.2,2608.0
Assam,Total,Male,Pre-Primary,Government,3.1,2608.0
Assam,Total,Male,Pre-Primary,Private aided,0.2,2608.0
Assam,Total,Male,Pre-Primary,Private Unaided,1.1,2608.0
Assam,Total,Male,Primary,Government,36.7,2608.0
Assam,Total,Male,Primary,Private aided,1.5,2608.0
Assam,Total,Male,Primary,Private Unaided,3.8,2608.0
Assam,Total,Male,Secondary and Higher Secondary,Government,18.4,2608.0
Assam,Total,Male,Secondary and Higher Secondary,Private aided,0.6,2608.0
Assam,Total,Male,Secondary and Higher Secondary,Private Unaided,1.6,2608.0
Assam,Total,Male,Upper Primary,Government,20.9,2608.0
Assam,Total,Male,Upper Primary,Private aided,0.6,2608.0
Assam,Total,Male,Upper Primary,Private Unaided,1.8,2608.0
Assam,Total,Persons,Diploma/Certificate below graduate level,Government,0.3,4588.0
Assam,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.0,4588.0
Assam,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,0.0,4588.0
Assam,Total,Persons,Graduate and above level including diploma,Government,7.5,4588.0
Assam,Total,Persons,Graduate and above level including diploma,Private aided,0.6,4588.0
Assam,Total,Persons,Graduate and above level including diploma,Private Unaided,0.3,4588.0
Assam,Total,Persons,Pre-Primary,Government,2.9,4588.0
Assam,Total,Persons,Pre-Primary,Private aided,0.2,4588.0
Assam,Total,Persons,Pre-Primary,Private Unaided,1.3,4588.0
Assam,Total,Persons,Primary,Government,37.6,4588.0
Assam,Total,Persons,Primary,Private aided,1.3,4588.0
Assam,Total,Persons,Primary,Private Unaided,3.5,4588.0
Assam,Total,Persons,Secondary and Higher Secondary,Government,18.9,4588.0
Assam,Total,Persons,Secondary and Higher Secondary,Private aided,0.7,4588.0
Assam,Total,Persons,Secondary and Higher Secondary,Private Unaided,1.5,4588.0
Assam,Total,Persons,Upper Primary,Government,20.9,4588.0
Assam,Total,Persons,Upper Primary,Private aided,0.6,4588.0
Assam,Total,Persons,Upper Primary,Private Unaided,1.6,4588.0
Assam,Urban,Female,Diploma/Certificate below graduate level,Government,0.0,527.0
Assam,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.0,527.0
Assam,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,527.0
Assam,Urban,Female,Graduate and above level including diploma,Government,13.6,527.0
Assam,Urban,Female,Graduate and above level including diploma,Private aided,1.6,527.0
Assam,Urban,Female,Graduate and above level including diploma,Private Unaided,2.9,527.0
Assam,Urban,Female,Pre-Primary,Government,1.1,527.0
Assam,Urban,Female,Pre-Primary,Private aided,1.1,527.0
Assam,Urban,Female,Pre-Primary,Private Unaided,5.2,527.0
Assam,Urban,Female,Primary,Government,14.5,527.0
Assam,Urban,Female,Primary,Private aided,4.4,527.0
Assam,Urban,Female,Primary,Private Unaided,9.3,527.0
Assam,Urban,Female,Secondary and Higher Secondary,Government,20.2,527.0
Assam,Urban,Female,Secondary and Higher Secondary,Private aided,1.2,527.0
Assam,Urban,Female,Secondary and Higher Secondary,Private Unaided,3.6,527.0
Assam,Urban,Female,Upper Primary,Government,14.6,527.0
Assam,Urban,Female,Upper Primary,Private aided,1.9,527.0
Assam,Urban,Female,Upper Primary,Private Unaided,4.7,527.0
Assam,Urban,Male,Diploma/Certificate below graduate level,Government,0.3,685.0
Assam,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.0,685.0
Assam,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.1,685.0
Assam,Urban,Male,Graduate and above level including diploma,Government,11.8,685.0
Assam,Urban,Male,Graduate and above level including diploma,Private aided,6.4,685.0
Assam,Urban,Male,Graduate and above level including diploma,Private Unaided,0.4,685.0
Assam,Urban,Male,Pre-Primary,Government,1.2,685.0
Assam,Urban,Male,Pre-Primary,Private aided,0.8,685.0
Assam,Urban,Male,Pre-Primary,Private Unaided,4.5,685.0
Assam,Urban,Male,Primary,Government,20.8,685.0
Assam,Urban,Male,Primary,Private aided,6.0,685.0
Assam,Urban,Male,Primary,Private Unaided,9.6,685.0
Assam,Urban,Male,Secondary and Higher Secondary,Government,15.9,685.0
Assam,Urban,Male,Secondary and Higher Secondary,Private aided,1.8,685.0
Assam,Urban,Male,Secondary and Higher Secondary,Private Unaided,7.2,685.0
Assam,Urban,Male,Upper Primary,Government,6.7,685.0
Assam,Urban,Male,Upper Primary,Private aided,1.9,685.0
Assam,Urban,Male,Upper Primary,Private Unaided,4.1,685.0
Assam,Urban,Persons,Diploma/Certificate below graduate level,Government,0.2,1212.0
Assam,Urban,Persons,Diploma/Certificate below graduate level,Private aided,0.0,1212.0
Assam,Urban,Persons,Diploma/Certificate below graduate level,Private Unaided,0.1,1212.0
Assam,Urban,Persons,Graduate and above level including diploma,Government,12.6,1212.0
Assam,Urban,Persons,Graduate and above level including diploma,Private aided,4.3,1212.0
Assam,Urban,Persons,Graduate and above level including diploma,Private Unaided,1.4,1212.0
Assam,Urban,Persons,Pre-Primary,Government,1.2,1212.0
Assam,Urban,Persons,Pre-Primary,Private aided,0.9,1212.0
Assam,Urban,Persons,Pre-Primary,Private Unaided,4.8,1212.0
Assam,Urban,Persons,Primary,Government,18.0,1212.0
Assam,Urban,Persons,Primary,Private aided,5.3,1212.0
Assam,Urban,Persons,Primary,Private Unaided,9.5,1212.0
Assam,Urban,Persons,Secondary and Higher Secondary,Government,17.8,1212.0
Assam,Urban,Persons,Secondary and Higher Secondary,Private aided,1.6,1212.0
Assam,Urban,Persons,Secondary and Higher Secondary,Private Unaided,5.6,1212.0
Assam,Urban,Persons,Upper Primary,Government,10.2,1212.0
Assam,Urban,Persons,Upper Primary,Private aided,1.9,1212.0
Assam,Urban,Persons,Upper Primary,Private Unaided,4.3,1212.0
West Bengal,Rural,Female,Diploma/Certificate below graduate level,Government,0.1,2361.0
West Bengal,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.0,2361.0
West Bengal,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,2361.0
West Bengal,Rural,Female,Graduate and above level including diploma,Government,5.3,2361.0
West Bengal,Rural,Female,Graduate and above level including diploma,Private aided,0.3,2361.0
West Bengal,Rural,Female,Graduate and above level including diploma,Private Unaided,0.2,2361.0
West Bengal,Rural,Female,Pre-Primary,Government,4.4,2361.0
West Bengal,Rural,Female,Pre-Primary,Private aided,0.1,2361.0
West Bengal,Rural,Female,Pre-Primary,Private Unaided,1.9,2361.0
West Bengal,Rural,Female,Primary,Government,32.5,2361.0
West Bengal,Rural,Female,Primary,Private aided,0.7,2361.0
West Bengal,Rural,Female,Primary,Private Unaided,2.7,2361.0
West Bengal,Rural,Female,Secondary and Higher Secondary,Government,26.4,2361.0
West Bengal,Rural,Female,Secondary and Higher Secondary,Private aided,0.2,2361.0
West Bengal,Rural,Female,Secondary and Higher Secondary,Private Unaided,0.1,2361.0
West Bengal,Rural,Female,Upper Primary,Government,24.3,2361.0
West Bengal,Rural,Female,Upper Primary,Private aided,0.1,2361.0
West Bengal,Rural,Female,Upper Primary,Private Unaided,0.2,2361.0
West Bengal,Rural,Male,Diploma/Certificate below graduate level,Government,0.5,2697.0
West Bengal,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.1,2697.0
West Bengal,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,0.1,2697.0
West Bengal,Rural,Male,Graduate and above level including diploma,Government,6.8,2697.0
West Bengal,Rural,Male,Graduate and above level including diploma,Private aided,0.5,2697.0
West Bengal,Rural,Male,Graduate and above level including diploma,Private Unaided,0.3,2697.0
West Bengal,Rural,Male,Pre-Primary,Government,3.6,2697.0
West Bengal,Rural,Male,Pre-Primary,Private aided,0.5,2697.0
West Bengal,Rural,Male,Pre-Primary,Private Unaided,2.4,2697.0
West Bengal,Rural,Male,Primary,Government,34.7,2697.0
West Bengal,Rural,Male,Primary,Private aided,0.8,2697.0
West Bengal,Rural,Male,Primary,Private Unaided,2.5,2697.0
West Bengal,Rural,Male,Secondary and Higher Secondary,Government,22.4,2697.0
West Bengal,Rural,Male,Secondary and Higher Secondary,Private aided,0.2,2697.0
West Bengal,Rural,Male,Secondary and Higher Secondary,Private Unaided,0.1,2697.0
West Bengal,Rural,Male,Upper Primary,Government,23.3,2697.0
West Bengal,Rural,Male,Upper Primary,Private aided,0.3,2697.0
West Bengal,Rural,Male,Upper Primary,Private Unaided,0.7,2697.0
West Bengal,Rural,Persons,Diploma/Certificate below graduate level,Government,0.3,5058.0
West Bengal,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.1,5058.0
West Bengal,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,0.1,5058.0
West Bengal,Rural,Persons,Graduate and above level including diploma,Government,6.0,5058.0
West Bengal,Rural,Persons,Graduate and above level including diploma,Private aided,0.4,5058.0
West Bengal,Rural,Persons,Graduate and above level including diploma,Private Unaided,0.3,5058.0
West Bengal,Rural,Persons,Pre-Primary,Government,4.0,5058.0
West Bengal,Rural,Persons,Pre-Primary,Private aided,0.3,5058.0
West Bengal,Rural,Persons,Pre-Primary,Private Unaided,2.2,5058.0
West Bengal,Rural,Persons,Primary,Government,33.6,5058.0
West Bengal,Rural,Persons,Primary,Private aided,0.8,5058.0
West Bengal,Rural,Persons,Primary,Private Unaided,2.6,5058.0
West Bengal,Rural,Persons,Secondary and Higher Secondary,Government,24.4,5058.0
West Bengal,Rural,Persons,Secondary and Higher Secondary,Private aided,0.2,5058.0
West Bengal,Rural,Persons,Secondary and Higher Secondary,Private Unaided,0.1,5058.0
West Bengal,Rural,Persons,Upper Primary,Government,23.8,5058.0
West Bengal,Rural,Persons,Upper Primary,Private aided,0.2,5058.0
West Bengal,Rural,Persons,Upper Primary,Private Unaided,0.5,5058.0
West Bengal,Total,Female,Diploma/Certificate below graduate level,Government,0.1,3808.0
West Bengal,Total,Female,Diploma/Certificate below graduate level,Private aided,0.0,3808.0
West Bengal,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.1,3808.0
West Bengal,Total,Female,Graduate and above level including diploma,Government,7.5,3808.0
West Bengal,Total,Female,Graduate and above level including diploma,Private aided,0.5,3808.0
West Bengal,Total,Female,Graduate and above level including diploma,Private Unaided,0.5,3808.0
West Bengal,Total,Female,Pre-Primary,Government,3.9,3808.0
West Bengal,Total,Female,Pre-Primary,Private aided,0.2,3808.0
West Bengal,Total,Female,Pre-Primary,Private Unaided,2.6,3808.0
West Bengal,Total,Female,Primary,Government,28.8,3808.0
West Bengal,Total,Female,Primary,Private aided,1.5,3808.0
West Bengal,Total,Female,Primary,Private Unaided,4.6,3808.0
West Bengal,Total,Female,Secondary and Higher Secondary,Government,24.9,3808.0
West Bengal,Total,Female,Secondary and Higher Secondary,Private aided,0.3,3808.0
West Bengal,Total,Female,Secondary and Higher Secondary,Private Unaided,0.8,3808.0
West Bengal,Total,Female,Upper Primary,Government,22.1,3808.0
West Bengal,Total,Female,Upper Primary,Private aided,0.4,3808.0
West Bengal,Total,Female,Upper Primary,Private Unaided,0.8,3808.0
West Bengal,Total,Male,Diploma/Certificate below graduate level,Government,0.5,4520.0
West Bengal,Total,Male,Diploma/Certificate below graduate level,Private aided,0.1,4520.0
West Bengal,Total,Male,Diploma/Certificate below graduate level,Private Unaided,0.2,4520.0
West Bengal,Total,Male,Graduate and above level including diploma,Government,8.4,4520.0
West Bengal,Total,Male,Graduate and above level including diploma,Private aided,1.1,4520.0
West Bengal,Total,Male,Graduate and above level including diploma,Private Unaided,1.0,4520.0
West Bengal,Total,Male,Pre-Primary,Government,3.2,4520.0
West Bengal,Total,Male,Pre-Primary,Private aided,0.7,4520.0
West Bengal,Total,Male,Pre-Primary,Private Unaided,2.8,4520.0
West Bengal,Total,Male,Primary,Government,30.2,4520.0
West Bengal,Total,Male,Primary,Private aided,1.3,4520.0
West Bengal,Total,Male,Primary,Private Unaided,4.1,4520.0
West Bengal,Total,Male,Secondary and Higher Secondary,Government,21.0,4520.0
West Bengal,Total,Male,Secondary and Higher Secondary,Private aided,0.7,4520.0
West Bengal,Total,Male,Secondary and Higher Secondary,Private Unaided,1.1,4520.0
West Bengal,Total,Male,Upper Primary,Government,21.4,4520.0
West Bengal,Total,Male,Upper Primary,Private aided,0.6,4520.0
West Bengal,Total,Male,Upper Primary,Private Unaided,1.4,4520.0
West Bengal,Total,Persons,Diploma/Certificate below graduate level,Government,0.3,8328.0
West Bengal,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.1,8328.0
West Bengal,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,0.1,8328.0
West Bengal,Total,Persons,Graduate and above level including diploma,Government,8.0,8328.0
West Bengal,Total,Persons,Graduate and above level including diploma,Private aided,0.8,8328.0
West Bengal,Total,Persons,Graduate and above level including diploma,Private Unaided,0.7,8328.0
West Bengal,Total,Persons,Pre-Primary,Government,3.5,8328.0
West Bengal,Total,Persons,Pre-Primary,Private aided,0.5,8328.0
West Bengal,Total,Persons,Pre-Primary,Private Unaided,2.7,8328.0
West Bengal,Total,Persons,Primary,Government,29.5,8328.0
West Bengal,Total,Persons,Primary,Private aided,1.4,8328.0
West Bengal,Total,Persons,Primary,Private Unaided,4.4,8328.0
West Bengal,Total,Persons,Secondary and Higher Secondary,Government,22.9,8328.0
West Bengal,Total,Persons,Secondary and Higher Secondary,Private aided,0.5,8328.0
West Bengal,Total,Persons,Secondary and Higher Secondary,Private Unaided,1.0,8328.0
West Bengal,Total,Persons,Upper Primary,Government,21.7,8328.0
West Bengal,Total,Persons,Upper Primary,Private aided,0.5,8328.0
West Bengal,Total,Persons,Upper Primary,Private Unaided,1.1,8328.0
West Bengal,Urban,Female,Diploma/Certificate below graduate level,Government,0.2,1447.0
West Bengal,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.0,1447.0
West Bengal,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.1,1447.0
West Bengal,Urban,Female,Graduate and above level including diploma,Government,13.6,1447.0
West Bengal,Urban,Female,Graduate and above level including diploma,Private aided,1.1,1447.0
West Bengal,Urban,Female,Graduate and above level including diploma,Private Unaided,1.1,1447.0
West Bengal,Urban,Female,Pre-Primary,Government,2.5,1447.0
West Bengal,Urban,Female,Pre-Primary,Private aided,0.4,1447.0
West Bengal,Urban,Female,Pre-Primary,Private Unaided,4.4,1447.0
West Bengal,Urban,Female,Primary,Government,18.7,1447.0
West Bengal,Urban,Female,Primary,Private aided,3.6,1447.0
West Bengal,Urban,Female,Primary,Private Unaided,10.0,1447.0
West Bengal,Urban,Female,Secondary and Higher Secondary,Government,20.8,1447.0
West Bengal,Urban,Female,Secondary and Higher Secondary,Private aided,0.5,1447.0
West Bengal,Urban,Female,Secondary and Higher Secondary,Private Unaided,2.8,1447.0
West Bengal,Urban,Female,Upper Primary,Government,16.1,1447.0
West Bengal,Urban,Female,Upper Primary,Private aided,1.2,1447.0
West Bengal,Urban,Female,Upper Primary,Private Unaided,2.4,1447.0
West Bengal,Urban,Male,Diploma/Certificate below graduate level,Government,0.3,1823.0
West Bengal,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.2,1823.0
West Bengal,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.5,1823.0
West Bengal,Urban,Male,Graduate and above level including diploma,Government,12.6,1823.0
West Bengal,Urban,Male,Graduate and above level including diploma,Private aided,2.9,1823.0
West Bengal,Urban,Male,Graduate and above level including diploma,Private Unaided,2.6,1823.0
West Bengal,Urban,Male,Pre-Primary,Government,2.0,1823.0
West Bengal,Urban,Male,Pre-Primary,Private aided,1.3,1823.0
West Bengal,Urban,Male,Pre-Primary,Private Unaided,3.9,1823.0
West Bengal,Urban,Male,Primary,Government,18.9,1823.0
West Bengal,Urban,Male,Primary,Private aided,2.4,1823.0
West Bengal,Urban,Male,Primary,Private Unaided,8.1,1823.0
West Bengal,Urban,Male,Secondary and Higher Secondary,Government,17.3,1823.0
