State,Residence_Type,Level of current enrolment,Gender,Gross enrolment ratio ( ger )
Mizoram,Total,Higher Secondary,Person,71.3
Mizoram,Total,Post Higher Secondary,Person,17.2
Mizoram,Total,Primary,Person,101.1
Mizoram,Total,Primary To Higher Secondary,Person,98.8
Mizoram,Total,Primary & Upper Primary,Person,104.7
Mizoram,Total,Secondary,Person,101.6
Mizoram,Total,Secondary And Higher Secondary,Person,87.5
Mizoram,Total,Upper Primary,Person,111.4
Mizoram,Urban,Higher Secondary,Female,114.0
Mizoram,Urban,Post Higher Secondary,Female,38.6
Mizoram,Urban,Primary,Female,102.2
Mizoram,Urban,Primary To Higher Secondary,Female,104.5
Mizoram,Urban,Primary & Upper Primary,Female,103.1
Mizoram,Urban,Secondary,Female,100.5
Mizoram,Urban,Secondary And Higher Secondary,Female,107.1
Mizoram,Urban,Upper Primary,Female,104.8
Mizoram,Urban,Higher Secondary,Male,99.4
Mizoram,Urban,Post Higher Secondary,Male,34.4
Mizoram,Urban,Primary,Male,106.3
Mizoram,Urban,Primary To Higher Secondary,Male,104.0
Mizoram,Urban,Primary & Upper Primary,Male,101.5
Mizoram,Urban,Secondary,Male,117.6
Mizoram,Urban,Secondary And Higher Secondary,Male,108.4
Mizoram,Urban,Upper Primary,Male,92.0
Mizoram,Urban,Higher Secondary,Person,106.6
Mizoram,Urban,Post Higher Secondary,Person,36.5
Mizoram,Urban,Primary,Person,104.2
Mizoram,Urban,Primary To Higher Secondary,Person,104.3
Mizoram,Urban,Primary & Upper Primary,Person,102.3
Mizoram,Urban,Secondary,Person,108.8
Mizoram,Urban,Secondary And Higher Secondary,Person,107.7
Mizoram,Urban,Upper Primary,Person,98.7
Tripura,Rural,Higher Secondary,Female,65.1
Tripura,Rural,Post Higher Secondary,Female,13.0
Tripura,Rural,Primary,Female,105.9
Tripura,Rural,Primary To Higher Secondary,Female,98.8
Tripura,Rural,Primary & Upper Primary,Female,106.2
Tripura,Rural,Secondary,Female,99.8
Tripura,Rural,Secondary And Higher Secondary,Female,85.5
Tripura,Rural,Upper Primary,Female,106.7
Tripura,Rural,Higher Secondary,Male,45.2
Tripura,Rural,Post Higher Secondary,Male,10.9
Tripura,Rural,Primary,Male,108.6
Tripura,Rural,Primary To Higher Secondary,Male,97.3
Tripura,Rural,Primary & Upper Primary,Male,112.9
Tripura,Rural,Secondary,Male,97.8
Tripura,Rural,Secondary And Higher Secondary,Male,75.0
Tripura,Rural,Upper Primary,Male,120.2
Tripura,Rural,Higher Secondary,Person,53.1
Tripura,Rural,Post Higher Secondary,Person,12.0
Tripura,Rural,Primary,Person,107.4
Tripura,Rural,Primary To Higher Secondary,Person,98.0
Tripura,Rural,Primary & Upper Primary,Person,109.8
Tripura,Rural,Secondary,Person,98.6
Tripura,Rural,Secondary And Higher Secondary,Person,79.3
Tripura,Rural,Upper Primary,Person,113.4
Tripura,Total,Higher Secondary,Female,63.6
Tripura,Total,Post Higher Secondary,Female,17.3
Tripura,Total,Primary,Female,109.7
Tripura,Total,Primary To Higher Secondary,Female,99.8
Tripura,Total,Primary & Upper Primary,Female,106.0
Tripura,Total,Secondary,Female,109.2
Tripura,Total,Secondary And Higher Secondary,Female,88.6
Tripura,Total,Upper Primary,Female,101.1
Tripura,Total,Higher Secondary,Male,52.0
Tripura,Total,Post Higher Secondary,Male,13.3
Tripura,Total,Primary,Male,107.7
Tripura,Total,Primary To Higher Secondary,Male,98.4
Tripura,Total,Primary & Upper Primary,Male,111.3
Tripura,Total,Secondary,Male,98.6
Tripura,Total,Secondary And Higher Secondary,Male,78.4
Tripura,Total,Upper Primary,Male,117.1
Tripura,Total,Higher Secondary,Person,57.0
Tripura,Total,Post Higher Secondary,Person,15.3
Tripura,Total,Primary,Person,108.6
Tripura,Total,Primary To Higher Secondary,Person,99.0
Tripura,Total,Primary & Upper Primary,Person,108.9
Tripura,Total,Secondary,Person,103.0
Tripura,Total,Secondary And Higher Secondary,Person,82.7
Tripura,Total,Upper Primary,Person,109.4
Tripura,Urban,Higher Secondary,Female,59.2
Tripura,Urban,Post Higher Secondary,Female,34.2
Tripura,Urban,Primary,Female,125.8
Tripura,Urban,Primary To Higher Secondary,Female,104.1
Tripura,Urban,Primary & Upper Primary,Female,105.2
Tripura,Urban,Secondary,Female,170.3
Tripura,Urban,Secondary And Higher Secondary,Female,102.3
Tripura,Urban,Upper Primary,Female,73.8
Tripura,Urban,Higher Secondary,Male,92.0
Tripura,Urban,Post Higher Secondary,Male,23.0
Tripura,Urban,Primary,Male,104.2
Tripura,Urban,Primary To Higher Secondary,Male,103.2
Tripura,Urban,Primary & Upper Primary,Male,105.3
Tripura,Urban,Secondary,Male,103.5
Tripura,Urban,Secondary And Higher Secondary,Male,98.5
Tripura,Urban,Upper Primary,Male,106.8
Tripura,Urban,Higher Secondary,Person,73.2
Tripura,Urban,Post Higher Secondary,Person,28.8
Tripura,Urban,Primary,Person,113.6
Tripura,Urban,Primary To Higher Secondary,Person,103.6
Tripura,Urban,Primary & Upper Primary,Person,105.3
Tripura,Urban,Secondary,Person,130.0
Tripura,Urban,Secondary And Higher Secondary,Person,100.4
Tripura,Urban,Upper Primary,Person,93.3
Meghalaya,Rural,Higher Secondary,Female,34.3
Meghalaya,Rural,Post Higher Secondary,Female,5.7
Meghalaya,Rural,Primary,Female,103.5
Meghalaya,Rural,Primary To Higher Secondary,Female,91.2
Meghalaya,Rural,Primary & Upper Primary,Female,101.0
Meghalaya,Rural,Secondary,Female,96.1
Meghalaya,Rural,Secondary And Higher Secondary,Female,68.9
Meghalaya,Rural,Upper Primary,Female,96.9
Meghalaya,Rural,Higher Secondary,Male,31.9
Meghalaya,Rural,Post Higher Secondary,Male,4.7
Meghalaya,Rural,Primary,Male,99.8
Meghalaya,Rural,Primary To Higher Secondary,Male,89.1
Meghalaya,Rural,Primary & Upper Primary,Male,99.4
Meghalaya,Rural,Secondary,Male,102.7
Meghalaya,Rural,Secondary And Higher Secondary,Male,65.7
Meghalaya,Rural,Upper Primary,Male,98.6
Meghalaya,Rural,Higher Secondary,Person,33.0
Meghalaya,Rural,Post Higher Secondary,Person,5.2
Meghalaya,Rural,Primary,Person,101.6
Meghalaya,Rural,Primary To Higher Secondary,Person,90.2
Meghalaya,Rural,Primary & Upper Primary,Person,100.2
Meghalaya,Rural,Secondary,Person,99.1
Meghalaya,Rural,Secondary And Higher Secondary,Person,67.3
Meghalaya,Rural,Upper Primary,Person,97.7
Meghalaya,Total,Higher Secondary,Female,49.4
Meghalaya,Total,Post Higher Secondary,Female,16.4
Meghalaya,Total,Primary,Female,103.4
Meghalaya,Total,Primary To Higher Secondary,Female,92.7
Meghalaya,Total,Primary & Upper Primary,Female,100.7
Meghalaya,Total,Secondary,Female,96.6
Meghalaya,Total,Secondary And Higher Secondary,Female,75.2
Meghalaya,Total,Upper Primary,Female,96.2
Meghalaya,Total,Higher Secondary,Male,46.3
Meghalaya,Total,Post Higher Secondary,Male,13.1
Meghalaya,Total,Primary,Male,100.3
Meghalaya,Total,Primary To Higher Secondary,Male,91.8
Meghalaya,Total,Primary & Upper Primary,Male,100.4
Meghalaya,Total,Secondary,Male,100.1
Meghalaya,Total,Secondary And Higher Secondary,Male,72.6
Meghalaya,Total,Upper Primary,Male,100.7
Meghalaya,Total,Higher Secondary,Person,47.7
Meghalaya,Total,Post Higher Secondary,Person,14.8
Meghalaya,Total,Primary,Person,101.8
Meghalaya,Total,Primary To Higher Secondary,Person,92.2
Meghalaya,Total,Primary & Upper Primary,Person,100.6
Meghalaya,Total,Secondary,Person,98.3
Meghalaya,Total,Secondary And Higher Secondary,Person,73.9
Meghalaya,Total,Upper Primary,Person,98.4
Meghalaya,Urban,Higher Secondary,Female,111.1
Meghalaya,Urban,Post Higher Secondary,Female,54.8
Meghalaya,Urban,Primary,Female,102.7
Meghalaya,Urban,Primary To Higher Secondary,Female,101.5
Meghalaya,Urban,Primary & Upper Primary,Female,99.0
Meghalaya,Urban,Secondary,Female,99.6
Meghalaya,Urban,Secondary And Higher Secondary,Female,105.6
Meghalaya,Urban,Upper Primary,Female,91.2
Meghalaya,Urban,Higher Secondary,Male,130.9
Meghalaya,Urban,Post Higher Secondary,Male,45.9
Meghalaya,Urban,Primary,Male,103.3
Meghalaya,Urban,Primary To Higher Secondary,Male,107.2
Meghalaya,Urban,Primary & Upper Primary,Male,107.0
Meghalaya,Urban,Secondary,Male,88.9
Meghalaya,Urban,Secondary And Higher Secondary,Male,107.8
Meghalaya,Urban,Upper Primary,Male,114.1
Meghalaya,Urban,Higher Secondary,Person,120.1
Meghalaya,Urban,Post Higher Secondary,Person,50.4
Meghalaya,Urban,Primary,Person,103.0
Meghalaya,Urban,Primary To Higher Secondary,Person,104.4
Meghalaya,Urban,Primary & Upper Primary,Person,103.2
Meghalaya,Urban,Secondary,Person,94.0
Meghalaya,Urban,Secondary And Higher Secondary,Person,106.7
Meghalaya,Urban,Upper Primary,Person,103.5
Assam,Rural,Higher Secondary,Female,54.3
Assam,Rural,Post Higher Secondary,Female,11.0
Assam,Rural,Primary,Female,104.5
Assam,Rural,Primary To Higher Secondary,Female,93.6
Assam,Rural,Primary & Upper Primary,Female,105.4
Assam,Rural,Secondary,Female,85.6
Assam,Rural,Secondary And Higher Secondary,Female,69.7
Assam,Rural,Upper Primary,Female,107.0
Assam,Rural,Higher Secondary,Male,56.5
Assam,Rural,Post Higher Secondary,Male,18.5
Assam,Rural,Primary,Male,103.0
Assam,Rural,Primary To Higher Secondary,Male,94.2
Assam,Rural,Primary & Upper Primary,Male,103.9
Assam,Rural,Secondary,Male,83.7
Assam,Rural,Secondary And Higher Secondary,Male,72.1
Assam,Rural,Upper Primary,Male,105.5
Assam,Rural,Higher Secondary,Person,55.4
Assam,Rural,Post Higher Secondary,Person,14.8
Assam,Rural,Primary,Person,103.7
Assam,Rural,Primary To Higher Secondary,Person,93.9
Assam,Rural,Primary & Upper Primary,Person,104.5
Assam,Rural,Secondary,Person,84.5
Assam,Rural,Secondary And Higher Secondary,Person,71.0
Assam,Rural,Upper Primary,Person,106.1
Assam,Total,Higher Secondary,Female,58.6
Assam,Total,Post Higher Secondary,Female,13.3
Assam,Total,Primary,Female,104.4
Assam,Total,Primary To Higher Secondary,Female,94.2
Assam,Total,Primary & Upper Primary,Female,104.7
Assam,Total,Secondary,Female,87.7
Assam,Total,Secondary And Higher Secondary,Female,72.8
Assam,Total,Upper Primary,Female,105.2
Assam,Total,Higher Secondary,Male,59.9
Assam,Total,Post Higher Secondary,Male,21.2
Assam,Total,Primary,Male,103.2
Assam,Total,Primary To Higher Secondary,Male,94.9
Assam,Total,Primary & Upper Primary,Male,103.7
Assam,Total,Secondary,Male,87.0
Assam,Total,Secondary And Higher Secondary,Male,75.1
Assam,Total,Upper Primary,Male,104.7
Assam,Total,Higher Secondary,Person,59.2
Assam,Total,Post Higher Secondary,Person,17.4
Assam,Total,Primary,Person,103.7
Assam,Total,Primary To Higher Secondary,Person,94.6
Assam,Total,Primary & Upper Primary,Person,104.1
Assam,Total,Secondary,Person,87.3
Assam,Total,Secondary And Higher Secondary,Person,74.1
Assam,Total,Upper Primary,Person,104.9
Assam,Urban,Higher Secondary,Female,102.4
Assam,Urban,Post Higher Secondary,Female,34.6
Assam,Urban,Primary,Female,102.4
Assam,Urban,Primary To Higher Secondary,Female,100.4
Assam,Urban,Primary & Upper Primary,Female,97.8
Assam,Urban,Secondary,Female,109.6
Assam,Urban,Secondary And Higher Secondary,Female,105.9
Assam,Urban,Upper Primary,Female,92.4
Assam,Urban,Higher Secondary,Male,85.6
Assam,Urban,Post Higher Secondary,Male,45.7
Assam,Urban,Primary,Male,105.0
Assam,Urban,Primary To Higher Secondary,Male,102.6
Assam,Urban,Primary & Upper Primary,Male,101.7
Assam,Urban,Secondary,Male,125.9
Assam,Urban,Secondary And Higher Secondary,Male,104.4
Assam,Urban,Upper Primary,Male,93.3
Assam,Urban,Higher Secondary,Person,92.7
Assam,Urban,Post Higher Secondary,Person,40.2
Assam,Urban,Primary,Person,104.0
Assam,Urban,Primary To Higher Secondary,Person,101.6
Assam,Urban,Primary & Upper Primary,Person,100.0
Assam,Urban,Secondary,Person,118.9
Assam,Urban,Secondary And Higher Secondary,Person,105.0
Assam,Urban,Upper Primary,Person,92.8
West Bengal,Rural,Higher Secondary,Female,63.0
West Bengal,Rural,Post Higher Secondary,Female,11.1
West Bengal,Rural,Primary,Female,101.6
West Bengal,Rural,Primary To Higher Secondary,Female,99.0
West Bengal,Rural,Primary & Upper Primary,Female,107.5
West Bengal,Rural,Secondary,Female,103.1
West Bengal,Rural,Secondary And Higher Secondary,Female,84.3
West Bengal,Rural,Upper Primary,Female,117.3
West Bengal,Rural,Higher Secondary,Male,51.9
West Bengal,Rural,Post Higher Secondary,Male,15.3
West Bengal,Rural,Primary,Male,102.1
West Bengal,Rural,Primary To Higher Secondary,Male,88.8
West Bengal,Rural,Primary & Upper Primary,Male,100.3
West Bengal,Rural,Secondary,Male,82.8
West Bengal,Rural,Secondary And Higher Secondary,Male,67.5
West Bengal,Rural,Upper Primary,Male,97.7
West Bengal,Rural,Higher Secondary,Person,57.1
West Bengal,Rural,Post Higher Secondary,Person,13.2
West Bengal,Rural,Primary,Person,101.9
West Bengal,Rural,Primary To Higher Secondary,Person,93.7
West Bengal,Rural,Primary & Upper Primary,Person,103.7
West Bengal,Rural,Secondary,Person,92.8
West Bengal,Rural,Secondary And Higher Secondary,Person,75.6
West Bengal,Rural,Upper Primary,Person,106.5
West Bengal,Total,Higher Secondary,Female,65.4
West Bengal,Total,Post Higher Secondary,Female,16.5
West Bengal,Total,Primary,Female,101.9
West Bengal,Total,Primary To Higher Secondary,Female,99.4
West Bengal,Total,Primary & Upper Primary,Female,107.0
West Bengal,Total,Secondary,Female,103.9
West Bengal,Total,Secondary And Higher Secondary,Female,85.9
West Bengal,Total,Upper Primary,Female,115.5
West Bengal,Total,Higher Secondary,Male,55.0
West Bengal,Total,Post Higher Secondary,Male,21.3
West Bengal,Total,Primary,Male,102.0
West Bengal,Total,Primary To Higher Secondary,Male,90.1
West Bengal,Total,Primary & Upper Primary,Male,101.0
West Bengal,Total,Secondary,Male,84.5
West Bengal,Total,Secondary And Higher Secondary,Male,70.3
West Bengal,Total,Upper Primary,Male,99.5
West Bengal,Total,Higher Secondary,Person,59.9
West Bengal,Total,Post Higher Secondary,Person,18.8
West Bengal,Total,Primary,Person,102.0
West Bengal,Total,Primary To Higher Secondary,Person,94.5
West Bengal,Total,Primary & Upper Primary,Person,103.8
West Bengal,Total,Secondary,Person,93.9
West Bengal,Total,Secondary And Higher Secondary,Person,77.7
West Bengal,Total,Upper Primary,Person,106.7
West Bengal,Urban,Higher Secondary,Female,73.3
West Bengal,Urban,Post Higher Secondary,Female,30.9
West Bengal,Urban,Primary,Female,102.8
West Bengal,Urban,Primary To Higher Secondary,Female,100.4
West Bengal,Urban,Primary & Upper Primary,Female,105.4
West Bengal,Urban,Secondary,Female,106.7
West Bengal,Urban,Secondary And Higher Secondary,Female,91.1
West Bengal,Urban,Upper Primary,Female,110.0
West Bengal,Urban,Higher Secondary,Male,65.4
West Bengal,Urban,Post Higher Secondary,Male,37.0
West Bengal,Urban,Primary,Male,101.7
West Bengal,Urban,Primary To Higher Secondary,Male,94.1
West Bengal,Urban,Primary & Upper Primary,Male,103.1
West Bengal,Urban,Secondary,Male,89.2
West Bengal,Urban,Secondary And Higher Secondary,Male,78.8
West Bengal,Urban,Upper Primary,Male,105.1
West Bengal,Urban,Higher Secondary,Person,69.1
West Bengal,Urban,Post Higher Secondary,Person,33.9
West Bengal,Urban,Primary,Person,102.3
West Bengal,Urban,Primary To Higher Secondary,Person,97.1
West Bengal,Urban,Primary & Upper Primary,Person,104.2
West Bengal,Urban,Secondary,Person,96.9
West Bengal,Urban,Secondary And Higher Secondary,Person,84.4
West Bengal,Urban,Upper Primary,Person,107.3
Jharkhand,Rural,Higher Secondary,Female,34.8
Jharkhand,Rural,Post Higher Secondary,Female,7.9
Jharkhand,Rural,Primary,Female,109.7
Jharkhand,Rural,Primary To Higher Secondary,Female,93.4
Jharkhand,Rural,Primary & Upper Primary,Female,104.6
Jharkhand,Rural,Secondary,Female,93.7
Jharkhand,Rural,Secondary And Higher Secondary,Female,64.0
Jharkhand,Rural,Upper Primary,Female,94.1
Jharkhand,Rural,Higher Secondary,Male,56.7
Jharkhand,Rural,Post Higher Secondary,Male,17.6
Jharkhand,Rural,Primary,Male,113.5
Jharkhand,Rural,Primary To Higher Secondary,Male,96.9
Jharkhand,Rural,Primary & Upper Primary,Male,106.9
Jharkhand,Rural,Secondary,Male,84.9
Jharkhand,Rural,Secondary And Higher Secondary,Male,72.3
Jharkhand,Rural,Upper Primary,Male,93.3
Jharkhand,Rural,Higher Secondary,Person,46.2
Jharkhand,Rural,Post Higher Secondary,Person,13.0
Jharkhand,Rural,Primary,Person,111.7
Jharkhand,Rural,Primary To Higher Secondary,Person,95.3
Jharkhand,Rural,Primary & Upper Primary,Person,105.8
Jharkhand,Rural,Secondary,Person,88.6
Jharkhand,Rural,Secondary And Higher Secondary,Person,68.6
Jharkhand,Rural,Upper Primary,Person,93.7
Jharkhand,Total,Higher Secondary,Female,42.6
Jharkhand,Total,Post Higher Secondary,Female,15.6
Jharkhand,Total,Primary,Female,109.7
Jharkhand,Total,Primary To Higher Secondary,Female,93.9
Jharkhand,Total,Primary & Upper Primary,Female,105.0
Jharkhand,Total,Secondary,Female,91.5
Jharkhand,Total,Secondary And Higher Secondary,Female,67.3
Jharkhand,Total,Upper Primary,Female,95.6
Jharkhand,Total,Higher Secondary,Male,61.1
Jharkhand,Total,Post Higher Secondary,Male,18.9
Jharkhand,Total,Primary,Male,115.7
Jharkhand,Total,Primary To Higher Secondary,Male,97.8
Jharkhand,Total,Primary & Upper Primary,Male,107.0
Jharkhand,Total,Secondary,Male,89.2
Jharkhand,Total,Secondary And Higher Secondary,Male,75.9
Jharkhand,Total,Upper Primary,Male,90.2
Jharkhand,Total,Higher Secondary,Person,52.4
Jharkhand,Total,Post Higher Secondary,Person,17.3
Jharkhand,Total,Primary,Person,112.9
Jharkhand,Total,Primary To Higher Secondary,Person,96.0
Jharkhand,Total,Primary & Upper Primary,Person,106.1
Jharkhand,Total,Secondary,Person,90.2
Jharkhand,Total,Secondary And Higher Secondary,Person,71.9
Jharkhand,Total,Upper Primary,Person,92.7
Jharkhand,Urban,Higher Secondary,Female,72.0
Jharkhand,Urban,Post Higher Secondary,Female,41.8
Jharkhand,Urban,Primary,Female,109.5
Jharkhand,Urban,Primary To Higher Secondary,Female,96.4
Jharkhand,Urban,Primary & Upper Primary,Female,107.5
Jharkhand,Urban,Secondary,Female,84.4
Jharkhand,Urban,Secondary And Higher Secondary,Female,78.6
Jharkhand,Urban,Upper Primary,Female,103.8
Jharkhand,Urban,Higher Secondary,Male,75.2
Jharkhand,Urban,Post Higher Secondary,Male,23.4
Jharkhand,Urban,Primary,Male,128.0
Jharkhand,Urban,Primary To Higher Secondary,Male,102.0
Jharkhand,Urban,Primary & Upper Primary,Male,107.0
Jharkhand,Urban,Secondary,Male,113.0
Jharkhand,Urban,Secondary And Higher Secondary,Male,91.2
Jharkhand,Urban,Upper Primary,Male,79.0
Jharkhand,Urban,Higher Secondary,Person,73.8
Jharkhand,Urban,Post Higher Secondary,Person,32.1
Jharkhand,Urban,Primary,Person,119.7
Jharkhand,Urban,Primary To Higher Secondary,Person,99.5
Jharkhand,Urban,Primary & Upper Primary,Person,107.2
Jharkhand,Urban,Secondary,Person,97.2
Jharkhand,Urban,Secondary And Higher Secondary,Person,84.9
Jharkhand,Urban,Upper Primary,Person,88.2
Odisha,Rural,Higher Secondary,Female,43.5
Odisha,Rural,Post Higher Secondary,Female,9.4
Odisha,Rural,Primary,Female,107.2
Odisha,Rural,Primary To Higher Secondary,Female,89.6
Odisha,Rural,Primary & Upper Primary,Female,103.2
Odisha,Rural,Secondary,Female,86.7
Odisha,Rural,Secondary And Higher Secondary,Female,64.3
Odisha,Rural,Upper Primary,Female,96.4
Odisha,Rural,Higher Secondary,Male,56.3
Odisha,Rural,Post Higher Secondary,Male,15.0
Odisha,Rural,Primary,Male,99.5
Odisha,Rural,Primary To Higher Secondary,Male,88.3
Odisha,Rural,Primary & Upper Primary,Male,94.4
Odisha,Rural,Secondary,Male,91.3
Odisha,Rural,Secondary And Higher Secondary,Male,74.7
Odisha,Rural,Upper Primary,Male,87.2
Odisha,Rural,Higher Secondary,Person,49.8
Odisha,Rural,Post Higher Secondary,Person,12.3
Odisha,Rural,Primary,Person,103.0
Odisha,Rural,Primary To Higher Secondary,Person,88.9
Odisha,Rural,Primary & Upper Primary,Person,98.3
Odisha,Rural,Secondary,Person,89.2
Odisha,Rural,Secondary And Higher Secondary,Person,69.7
Odisha,Rural,Upper Primary,Person,91.1
Odisha,Total,Higher Secondary,Female,46.1
Odisha,Total,Post Higher Secondary,Female,11.4
Odisha,Total,Primary,Female,107.4
Odisha,Total,Primary To Higher Secondary,Female,90.7
Odisha,Total,Primary & Upper Primary,Female,102.9
Odisha,Total,Secondary,Female,90.8
Odisha,Total,Secondary And Higher Secondary,Female,67.4
Odisha,Total,Upper Primary,Female,95.1
Odisha,Total,Higher Secondary,Male,61.0
Odisha,Total,Post Higher Secondary,Male,17.4
Odisha,Total,Primary,Male,100.7
Odisha,Total,Primary To Higher Secondary,Male,89.7
Odisha,Total,Primary & Upper Primary,Male,96.0
Odisha,Total,Secondary,Male,88.6
Odisha,Total,Secondary And Higher Secondary,Male,75.9
Odisha,Total,Upper Primary,Male,88.9
Odisha,Total,Higher Secondary,Person,53.4
Odisha,Total,Post Higher Secondary,Person,14.5
Odisha,Total,Primary,Person,103.8
Odisha,Total,Primary To Higher Secondary,Person,90.2
Odisha,Total,Primary & Upper Primary,Person,99.1
Odisha,Total,Secondary,Person,89.6
Odisha,Total,Secondary And Higher Secondary,Person,71.9
Odisha,Total,Upper Primary,Person,91.5
Odisha,Urban,Higher Secondary,Female,62.4
Odisha,Urban,Post Higher Secondary,Female,21.8
Odisha,Urban,Primary,Female,109.1
Odisha,Urban,Primary To Higher Secondary,Female,97.1
Odisha,Urban,Primary & Upper Primary,Female,101.3
Odisha,Urban,Secondary,Female,119.5
Odisha,Urban,Secondary And Higher Secondary,Female,88.3
Odisha,Urban,Upper Primary,Female,87.1
Odisha,Urban,Higher Secondary,Male,94.8
Odisha,Urban,Post Higher Secondary,Male,30.3
Odisha,Urban,Primary,Male,107.0
Odisha,Urban,Primary To Higher Secondary,Male,98.2
Odisha,Urban,Primary & Upper Primary,Male,105.2
Odisha,Urban,Secondary,Male,75.3
Odisha,Urban,Secondary And Higher Secondary,Male,82.8
Odisha,Urban,Upper Primary,Male,101.4
Odisha,Urban,Higher Secondary,Person,77.4
Odisha,Urban,Post Higher Secondary,Person,26.2
Odisha,Urban,Primary,Person,107.9
Odisha,Urban,Primary To Higher Secondary,Person,97.7
Odisha,Urban,Primary & Upper Primary,Person,103.5
Odisha,Urban,Secondary,Person,91.9
Odisha,Urban,Secondary And Higher Secondary,Person,85.3
Odisha,Urban,Upper Primary,Person,94.8
Chhattisgarh,Rural,Higher Secondary,Female,57.3
Chhattisgarh,Rural,Post Higher Secondary,Female,9.9
Chhattisgarh,Rural,Primary,Female,100.8
Chhattisgarh,Rural,Primary To Higher Secondary,Female,94.2
Chhattisgarh,Rural,Primary & Upper Primary,Female,102.6
Chhattisgarh,Rural,Secondary,Female,95.2
Chhattisgarh,Rural,Secondary And Higher Secondary,Female,77.7
Chhattisgarh,Rural,Upper Primary,Female,105.7
Chhattisgarh,Rural,Higher Secondary,Male,70.1
Chhattisgarh,Rural,Post Higher Secondary,Male,17.8
Chhattisgarh,Rural,Primary,Male,106.3
Chhattisgarh,Rural,Primary To Higher Secondary,Male,95.5
Chhattisgarh,Rural,Primary & Upper Primary,Male,103.2
Chhattisgarh,Rural,Secondary,Male,88.5
Chhattisgarh,Rural,Secondary And Higher Secondary,Male,79.5
Chhattisgarh,Rural,Upper Primary,Male,98.0
Chhattisgarh,Rural,Higher Secondary,Person,64.3
Chhattisgarh,Rural,Post Higher Secondary,Person,13.9
Chhattisgarh,Rural,Primary,Person,103.8
Chhattisgarh,Rural,Primary To Higher Secondary,Person,94.9
Chhattisgarh,Rural,Primary & Upper Primary,Person,102.9
Chhattisgarh,Rural,Secondary,Person,91.8
Chhattisgarh,Rural,Secondary And Higher Secondary,Person,78.7
Chhattisgarh,Rural,Upper Primary,Person,101.5
Chhattisgarh,Total,Higher Secondary,Female,63.7
Chhattisgarh,Total,Post Higher Secondary,Female,12.1
Chhattisgarh,Total,Primary,Female,101.1
Chhattisgarh,Total,Primary To Higher Secondary,Female,94.9
Chhattisgarh,Total,Primary & Upper Primary,Female,102.6
Chhattisgarh,Total,Secondary,Female,94.6
Chhattisgarh,Total,Secondary And Higher Secondary,Female,80.2
Chhattisgarh,Total,Upper Primary,Female,105.1
Chhattisgarh,Total,Higher Secondary,Male,70.4
Chhattisgarh,Total,Post Higher Secondary,Male,20.8
Chhattisgarh,Total,Primary,Male,105.3
Chhattisgarh,Total,Primary To Higher Secondary,Male,95.1
Chhattisgarh,Total,Primary & Upper Primary,Male,102.6
Chhattisgarh,Total,Secondary,Male,88.3
Chhattisgarh,Total,Secondary And Higher Secondary,Male,79.7
Chhattisgarh,Total,Upper Primary,Male,98.0
Chhattisgarh,Total,Higher Secondary,Person,67.3
Chhattisgarh,Total,Post Higher Secondary,Person,16.4
Chhattisgarh,Total,Primary,Person,103.4
Chhattisgarh,Total,Primary To Higher Secondary,Person,95.0
Chhattisgarh,Total,Primary & Upper Primary,Person,102.6
Chhattisgarh,Total,Secondary,Person,91.3
Chhattisgarh,Total,Secondary And Higher Secondary,Person,79.9
Chhattisgarh,Total,Upper Primary,Person,101.1
Chhattisgarh,Urban,Higher Secondary,Female,94.1
Chhattisgarh,Urban,Post Higher Secondary,Female,20.9
Chhattisgarh,Urban,Primary,Female,102.6
Chhattisgarh,Urban,Primary To Higher Secondary,Female,98.7
Chhattisgarh,Urban,Primary & Upper Primary,Female,102.1
Chhattisgarh,Urban,Secondary,Female,91.5
Chhattisgarh,Urban,Secondary And Higher Secondary,Female,92.8
Chhattisgarh,Urban,Upper Primary,Female,101.2
Chhattisgarh,Urban,Higher Secondary,Male,71.9
Chhattisgarh,Urban,Post Higher Secondary,Male,35.5
Chhattisgarh,Urban,Primary,Male,100.6
Chhattisgarh,Urban,Primary To Higher Secondary,Male,93.2
Chhattisgarh,Urban,Primary & Upper Primary,Male,99.5
Chhattisgarh,Urban,Secondary,Male,87.2
Chhattisgarh,Urban,Secondary And Higher Secondary,Male,80.5
Chhattisgarh,Urban,Upper Primary,Male,97.6
Chhattisgarh,Urban,Higher Secondary,Person,82.7
Chhattisgarh,Urban,Post Higher Secondary,Person,27.5
Chhattisgarh,Urban,Primary,Person,101.5
Chhattisgarh,Urban,Primary To Higher Secondary,Person,95.6
Chhattisgarh,Urban,Primary & Upper Primary,Person,100.6
Chhattisgarh,Urban,Secondary,Person,89.1
Chhattisgarh,Urban,Secondary And Higher Secondary,Person,86.1
Chhattisgarh,Urban,Upper Primary,Person,99.0
Madhya Pradesh,Rural,Higher Secondary,Female,50.5
Madhya Pradesh,Rural,Post Higher Secondary,Female,9.5
Madhya Pradesh,Rural,Primary,Female,91.2
Madhya Pradesh,Rural,Primary To Higher Secondary,Female,83.8
Madhya Pradesh,Rural,Primary & Upper Primary,Female,92.7
Madhya Pradesh,Rural,Secondary,Female,80.5
Madhya Pradesh,Rural,Secondary And Higher Secondary,Female,66.4
Madhya Pradesh,Rural,Upper Primary,Female,95.7
